period,subba,subba-name,parent,parent-name,timezone,value,value-units
2025-11-03,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1978,megawatthours
2025-11-03,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1985,megawatthours
2025-11-03,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1988,megawatthours
2025-11-02,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,226117,megawatthours
2025-11-02,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,226117,megawatthours
2025-11-02,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,235915,megawatthours
2025-11-02,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,262364,megawatthours
2025-11-02,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,262364,megawatthours
2025-11-02,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,272566,megawatthours
2025-11-02,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,51261,megawatthours
2025-11-02,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,51261,megawatthours
2025-11-02,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,53554,megawatthours
2025-11-02,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1928,megawatthours
2025-11-02,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1928,megawatthours
2025-11-02,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1975,megawatthours
2025-10-31,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,246968,megawatthours
2025-10-31,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,247604,megawatthours
2025-10-31,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,248277,megawatthours
2025-10-31,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,247198,megawatthours
2025-10-31,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,246968,megawatthours
2025-10-31,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,294508,megawatthours
2025-10-31,SCE,Southern California Edison,CISO,California Independent System Operator,Central,296175,megawatthours
2025-10-31,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,297408,megawatthours
2025-10-31,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,295266,megawatthours
2025-10-31,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,294508,megawatthours
2025-10-31,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,54136,megawatthours
2025-10-31,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,54507,megawatthours
2025-10-31,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,54909,megawatthours
2025-10-31,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,54287,megawatthours
2025-10-31,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,54136,megawatthours
2025-10-31,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1921,megawatthours
2025-10-31,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1926,megawatthours
2025-10-31,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1930,megawatthours
2025-10-31,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1924,megawatthours
2025-10-31,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1921,megawatthours
2025-10-30,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,248997,megawatthours
2025-10-30,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,249287,megawatthours
2025-10-30,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,249456,megawatthours
2025-10-30,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,249143,megawatthours
2025-10-30,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,248997,megawatthours
2025-10-30,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,310511,megawatthours
2025-10-30,SCE,Southern California Edison,CISO,California Independent System Operator,Central,311434,megawatthours
2025-10-30,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,311769,megawatthours
2025-10-30,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,310939,megawatthours
2025-10-30,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,310511,megawatthours
2025-10-30,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,55811,megawatthours
2025-10-30,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,55739,megawatthours
2025-10-30,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,55762,megawatthours
2025-10-30,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,55767,megawatthours
2025-10-30,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,55811,megawatthours
2025-10-30,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1949,megawatthours
2025-10-30,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1951,megawatthours
2025-10-30,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1953,megawatthours
2025-10-30,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1949,megawatthours
2025-10-30,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1949,megawatthours
2025-10-29,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,250890,megawatthours
2025-10-29,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,250635,megawatthours
2025-10-29,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,250464,megawatthours
2025-10-29,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,250795,megawatthours
2025-10-29,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,250890,megawatthours
2025-10-29,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,314466,megawatthours
2025-10-29,SCE,Southern California Edison,CISO,California Independent System Operator,Central,313491,megawatthours
2025-10-29,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,313108,megawatthours
2025-10-29,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,314010,megawatthours
2025-10-29,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,314466,megawatthours
2025-10-29,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,56666,megawatthours
2025-10-29,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,56566,megawatthours
2025-10-29,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,56404,megawatthours
2025-10-29,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,56619,megawatthours
2025-10-29,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,56666,megawatthours
2025-10-29,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1977,megawatthours
2025-10-29,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1977,megawatthours
2025-10-29,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1977,megawatthours
